"lang"
{
	"Language"		"English"
		"DOTA_TalentTree_Generic_Talent_4"		"Health"
		"DOTA_TalentTree_Generic_Talent_4_Description"		"Increases your health by 500/1000/1500"
		"DOTA_TalentTree_Generic_Talent_5"		"Mana"
		"DOTA_TalentTree_Generic_Talent_5_Description"		"Increases your mana by 500/1000/1500"
		"DOTA_TalentTree_Generic_Talent_6"		"Movement speed"
		"DOTA_TalentTree_Generic_Talent_6_Description"		"Increases your movement speed by 10/20/30"
		"DOTA_TalentTree_Generic_Talent_7"		"Damage reduction"
		"DOTA_TalentTree_Generic_Talent_7_Description"		"Increases your damage reduction by 5/10/15%"
		"DOTA_TalentTree_Generic_Talent_8"		"Spell damage"
		"DOTA_TalentTree_Generic_Talent_8_Description"		"Increases your spell damage by 5/10/15%"
		"DOTA_TalentTree_Generic_Talent_9"		"Attack damage"
		"DOTA_TalentTree_Generic_Talent_9_Description"		"Increases your attack damage by 50/100/150"
		"DOTA_TalentTree_Generic_Talent_10"		"Inferno damage"
		"DOTA_TalentTree_Generic_Talent_10_Description"		"Increases your inferno damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_11"		"Earth damage"
		"DOTA_TalentTree_Generic_Talent_11_Description"		"Increases your earth damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_12"		"Pure damage"
		"DOTA_TalentTree_Generic_Talent_12_Description"		"Increases your pure damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_13"		"Physical damage"
		"DOTA_TalentTree_Generic_Talent_13_Description"		"Increases your physical damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_14"		"Fire damage"
		"DOTA_TalentTree_Generic_Talent_14_Description"		"Increases your fire damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_15"		"Frost damage"
		"DOTA_TalentTree_Generic_Talent_15_Description"		"Increases your frost damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_16"		"Void damage"
		"DOTA_TalentTree_Generic_Talent_16_Description"		"Increases your void damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_17"		"Holy damage"
		"DOTA_TalentTree_Generic_Talent_17_Description"		"Increases your holy damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_18"		"Nature damage"
		"DOTA_TalentTree_Generic_Talent_18_Description"		"Increases your nature damage by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_25"		"Spells resistance"
		"DOTA_TalentTree_Generic_Talent_25_Description"		"Increases your elemental resistances by 5/10/15%"
		"DOTA_TalentTree_Generic_Talent_26"		"Armor"
		"DOTA_TalentTree_Generic_Talent_26_Description"		"Increases your armor by 10/20/30"
		"DOTA_TalentTree_Generic_Talent_27"		"Magic block"
		"DOTA_TalentTree_Generic_Talent_27_Description"		"Increases your magic block by 50/100/150"
		"DOTA_TalentTree_Generic_Talent_28"		"Health regeneration"
		"DOTA_TalentTree_Generic_Talent_28_Description"		"Increases your health regeneration by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_29"		"Mana regeneration"
		"DOTA_TalentTree_Generic_Talent_29_Description"		"Increases your mana regeneration by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_30"		"Attack speed"
		"DOTA_TalentTree_Generic_Talent_30_Description"		"Increases your attack speed by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_31"		"Block"
		"DOTA_TalentTree_Generic_Talent_31_Description"		"Increases your block by 50/100/150"
		"DOTA_TalentTree_Generic_Talent_32"		"Attack range"
		"DOTA_TalentTree_Generic_Talent_32_Description"		"Increases your attack range by 10/20/30%"
		"DOTA_TalentTree_Generic_Talent_33"		"Spells haste"
		"DOTA_TalentTree_Generic_Talent_33_Description"		"Increases your spell haste by 10/20/30%"
		// Phantom Ranger (drow)
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_34"		"Ghost"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_34_Description"		"Your Phantom can cast Phantom Arrow."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_35"		"Mirage"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_35_Description"		"Your remnant will mimic your abilities."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_36"		"Perfect aim"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_36_Description"		"Removes the damage reduction from Barrage."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_37"		"Penetration"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_37_Description"		"Damaging marked targets gives you stacks of Penetration. Each stack adds flat damage to the next damage instance, increasing per stack."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_38"		"Stealth"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_38_Description"		"When dealing damage, you have an 80% chance to lose aggro."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_39"		"Alpha wolf"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_39_Description"		"Damaging intimidated enemies has a 50% chance to refresh the debuff and spread it to other nearby enemies."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_40"		"HERALD OF THE VOID"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_40_Description"		"Adds flat void damage to your attacks."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_41"		"REQUIEM"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_41_Description"		"Damage dealt to non-boss enemies has a 10% chance to be lethal."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_42"		"CONCUSSION"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_42_Description"		"Dealing damage to enemies reduces their attack speed by 100%."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_43"		"ACROBATICS"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_43_Description"		"Gain 80% chance to dodge spell damage."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_44"		"SUBTLETY"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_44_Description"		"When you kill an enemy, the cooldown of all your spells is reset."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_45"		"ASSASSINATION"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_45_Description"		"When you kill an enemy, instantly lose all aggro and gain % increased damage for your next damage instance."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_46"		"ETERNAL VOID"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_46_Description"		"Increases void resistance and gives a chance to reflect all damage back to its source."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_47"		"A SECOND CHANCE"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_47_Description"		"Convert all your damage to holy damage."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_48"		"ONE LAST ARROW"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_48_Description"		"When you take lethal damage, it will instead reduce you to 1 hp and you launch an arrow at the damage source. The arrow has a 50% chance to kill the enemy and a 50% chance to kill you. If the enemy dies from this effect, you heal to full and become invulnerable for 2 seconds."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_49"		"DEADLY DRAW"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_49_Description"		"Your spells cost health instead of mana. Kiling an enemy restores 40% of maximum health."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_50"		"AVATAR OF PROWESS"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_50_Description"		"When you damage an enemy, gain a stack of Prowess. Each stack reduces damage taken by 5%, up to 80%."
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_51"		"AVATAR OF THE VOID"
		"DOTA_TalentTree_npc_dota_hero_drow_ranger_Talent_51_Description"		"You have phasing and free pathing."
		// Light Cardinal (silencer)
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_34"		"Embrace"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_34_Description"		"After Spirit Shield ends, the target is healed for 50/60/70% of the damage absorbed over 5 seconds."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_34_embrace"		"Embrace"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_34_embrace_Description"		"Healing over time."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_35"		"Possession"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_35_Description"		"Harmony also increases your maximum health and mana by 50/60/70%, but decreases your health and mana regeneration by 50%."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_36"		"Sacrilege"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_36_Description"		"After using Desecration, increases your spell damage by 20% for 5 seconds."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_36_sacrilege"		"Sacrilege"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_36_sacrilege_Description"		"This unit has increased spell damage."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_37"		"Anointed Grounds"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_37_Description"		"Consecration also lowers the elemental resistance of affected enemies by 10/15/20% (capped at 30%) for 3 seconds."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_37_anointed_grounds"		"Anointed Grounds"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_37_anointed_grounds_Description"		"Decreased elemental resistances."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_38"		"Misery"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_38_Description"		"Each consecutive Smite cast on same target increases the damage of Smite by 5/6/7%, stacking up to 5 times."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_38_misery"		"Misery"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_38_misery_Description"		"Your next Smite deals increased damage."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_39"		"Rejuvenation"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_39_Description"		"Patronage does not cause Exhaustion. Also reduces the cooldown of Patronage by 1/2/3 seconds."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_40"		"Divine Cloak"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_40_Description"		"After taking no damage for 5 seconds you gain Divine Cloak, which blocks the next 3/4/5 (capped at 7) instances of incoming damage."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_40_divine_cloak"		"Divine cloak"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_40_divine_cloak_Description"		"Blocking incoming damage."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_41"		"Divine Aid"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_41_Description"		"Your healing on targets is increased by 1/2/3% of their maximum health."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_42"		"Clarity"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_42_Description"		"After casting any ability, you have a 30/35/40% chance to restore 5% of your maximum mana."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_43"		"Mana Tide"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_43_Description"		"Increases your maximum mana by 40/50/60%."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_44"		"Combustion"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_44_Description"		"Enemies damaged by you lose 1/2/3% (capped at 5%) of their maximum health. Inner cooldown 5 seconds."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_45"		"Divine Swiftness"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_45_Description"		"Increases your movement speed by 5/7/9% for each active buff you have."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_46"		"Priesthood"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_46_Description"		"Casting an ability lowers your threat by 5/10/15% (capped at 25%) of enemy aggro."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_47"		"Holy Crusader"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_47_Description"		"Casting an ability increases your threat by 5/10/15% (capped at 25%) of enemy aggro."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_48"		"Mana Shield"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_48_Description"		"Losing health (except by self-damage) causes you to instantly die. All incoming damage is taken from mana instead of life. Reduces damage taken by 2/4/6%."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_49"		"ASCENDANCY"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_49_Description"		"Casting an ability with a base cooldown of at least 1 second reduces the cooldown of your abilities by 1/2/3 seconds."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_50"		"Nullification"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_50_Description"		"If an attack would bring you below 5% health, block it and gain a shield that absorbs damage equal to 75/90/105% of your missing health. Inner cooldown 120/115/105 (capped at 90) seconds."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_50_nullification_cd"		"Nullification cooldown"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_50_nullification_cd_Description"		"Nullification on cooldown."
		"DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_50_nullification"		"Nullification"
        "DOTA_Tooltip_modifier_npc_dota_hero_silencer_talent_50_nullification_Description"		"Nullification is blocking %dMODIFIER_PROPERTY_TOOLTIP% damage."
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_51"		"ENLIGHTENMENT"
		"DOTA_TalentTree_npc_dota_hero_silencer_Talent_51_Description"		"Increases your spell damage by 50/55/60% of your intellect."
		// Terror Lord (Pit Lord)
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_34"		"Flaming Meteorite"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_34_Description"		"Flame of Menace also launches several inferno meteorites that deal 80/100/120% of your attack damage along the way."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_35"		"Scorched Immolation"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_35_Description"		"Immolation also deals 50/70/90% of your attack damage to enemies in a 300 radius and grants 10/15/20% (capped at 30%) movement speed for 5 seconds."
		"DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_35_scorched_immolation"		"Scorched Immolation"
		"DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_35_scorched_immolation_Description"		"Movement speed increased."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_36"		"Hallow Berserker"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_36_Description"		"Inferno Impulse also grants 25/50/75 attack speed and 20/25/30% Strength for 10 seconds."
		"DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_36_hallow_berserker"		"Hallow Berserker"
		"DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_36_hallow_berserker_Description"		"Attack speed and Strength increased."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_37"		"True Predator"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_37_Description"		"Ruthless Predator now grants a minimum of 1/2/3 (capped at 5) stacks of health regeneration."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_38"		"Firestorm Pit"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_38_Description"		"The first time each enemy gets rooted by Pit of Seals, they'll be hit by an inferno meteorite that deals 60/80/100% of your attack damage."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_39"		"Inferno Aura"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_39_Description"		"Aura of Seals also grants you and nearby allies 15/20/25% attack and spell damage and 10/15/20% armor."
        "DOTA_Tooltip_modifier_terror_lord_aura_of_seals_ally_aura_buff"		"Inferno Aura"
        "DOTA_Tooltip_modifier_terror_lord_aura_of_seals_ally_aura_buff_Description"		"Attack damage, armor and spell damage increased."
	    "DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_40"		"Impulse Sanity"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_40_Description"		"Increases inferno and fire damage by 2/3/4% for every enemy in an 800 radius."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_40_impulse_sanity"		"Impulse Sanity"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_40_impulse_sanity_Description"		"Inferno damage and fire damage increased."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_41"		"Will of Fire"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_41_Description"		"If you would deal inferno damage, you instead deal inferno fire damage. Fire damage increased by 20/30/40%."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_42"		"Inferno Reserves"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_42_Description"		"You next auto attack will stun for 1s and deal 100/200/300% of your attack damage over 5 seconds. Inner cooldown 20s."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_42_inferno_reserves"		"Inferno Reserves"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_42_inferno_reserves_Description"		"Taking inferno damage over time."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_42_cd"		"Inferno Reserves Cooldown"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_42_cd_Description"		"Inferno Reserves on cooldown."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_43"		"Vengeance"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_43_Description"		"Attacks that bring you below 50% cause you to spread inferno fire that melts the weapons of all enemies in a 600 radius, disarming them for 1/2/3 seconds (capped at 5). Inner cooldown 60/55/50 seconds (capped at 30)."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_43_cd"		"Vengeance Cooldown"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_43_cd_Description"		"Vengeance on cooldown."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_43_debuff"		"Vengeance"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_43_debuff_Description"		"Disarmed."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_44"		"Sticky Pit"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_44_Description"		"Pit of Seals applies Sticky to enemies every second, which reduces movement speed by 1/1.5/2% (capped at 5%) and increases damage taken from Terror Lord by 1/2/3% per stack."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_44_sticky"		"Sticky"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_44_sticky_Description"		"Slowed and taking increased damage from Terror Lord."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_45"		"Aura of Destruction"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_45_Description"		"Reduces the elemental resistances of enemies in an 800 radius by 10/15/20% (capped at 50%)."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_45_debuff"		"Aura of Destruction"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_45_debuff_Description"		"Elemental resistances reduced."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_46"		"Nova Terror"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_46_Description"		"increases your fire damage by 20/30/40% of your inferno damage."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_47"		"Ashes of Terror"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_47_Description"		"Resurrects you upon death and deals 300/600/900% of your attack damage as inferno damage to all enemies in a 600 radius. Inner cooldown 120 seconds."
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_47_cd"		"Ashes of Terror Cooldown"
        "DOTA_Tooltip_modifier_npc_dota_hero_abyssal_underlord_talent_47_cd_Description"		"Ashes of Terror on cooldown."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_48"		"Remnants of Corruption"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_48_Description"		"Increases your Strength by 40/60/80%."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_49"		"Behemoth"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_49_Description"		"Dealing damage increases your threat by 5/10/15% (capped at 30%)."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_50"		"Inferno Meteor"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_50_Description"		"After casting any ability, you call an inferno meteor on a random enemy in a 600 radius that deals 80/160/240% of your attack damage."
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_51"		"Dispersion"
		"DOTA_TalentTree_npc_dota_hero_abyssal_underlord_Talent_51_Description"		"Gives a 35/40/45% (capped at 60%) chance to block any incoming damage instance."
		// Countless tooltips
		"DOTA_Tooltip_Attributes"		"Attributes"
		"DOTA_Tooltip_Strength"		"Strength"
		"DOTA_Tooltip_Agility"		"Agility"
		"DOTA_Tooltip_Intelligence"		"Intelligence"
		"DOTA_Tooltip_GeneralStats"		"General Stats"
		"DOTA_Tooltip_Health"		"Health"
		"DOTA_Tooltip_Mana"		"Mana"
		"DOTA_Tooltip_CooldownReduction"		"Cooldown Reduction"
		"DOTA_Tooltip_HeroLevel"		"Level"
		"DOTA_Tooltip_CurrentXP"		"Current XP"
		"DOTA_Tooltip_OffensiveStats"		"Offensive Stats"
		"DOTA_Tooltip_SpellDamage"		"Spells Damage"
		"DOTA_Tooltip_SpellDamage_Description"		"Increases the damage of your spells."
		"DOTA_Tooltip_SpellHaste"		"Spells Haste"
		"DOTA_Tooltip_SpellHaste_Description"		"Speeds up the cast time of cast-time abilities."
		"DOTA_Tooltip_AttackRange"		"Attack Range"
		"DOTA_Tooltip_AttackSpeed"		"Attack Speed"
		"DOTA_Tooltip_DebuffAmplification"		"Debuffs Duration"
        "DOTA_Tooltip_DebuffAmplification_Description"		"Duration of all debuffs caused by you depend on this."
		"DOTA_Tooltip_DebuffResistance"		"Debuffs Resistance"
        "DOTA_Tooltip_DebuffResistance_Description"		"Decreasing duration of all debuffs that affect you."
		"DOTA_Tooltip_CriticalDamage"		"Bonus Critical Damage"
        "DOTA_Tooltip_CriticalDamage_Description"		"All critical strikes from damaging ability or auto attack will have increased damage by this value."
		"DOTA_Tooltip_CriticalChance"		"Bonus Critical Chance"
        "DOTA_Tooltip_CriticalChance_Description"		"All critical strikes proc chances from damaging ability or auto attack will be increased by this value."
		"DOTA_Tooltip_BuffAmplification"		"Buffs Duration"
        "DOTA_Tooltip_BuffAmplification_Description"		"Duration of all buffs caused by you depend on this."
		"DOTA_Tooltip_BaseAttackTime"		"Base Attack Time"
		"DOTA_Tooltip_AttackDamage"		"Attack Damage"
		"DOTA_Tooltip_MoveSpeed"		"Move Speed"
		"DOTA_Tooltip_ManaRegen"		"Mana Regeneration"
		"DOTA_Tooltip_DefensiveStats"		"Defensive Stats"
		"DOTA_Tooltip_Armor"		"Armor"
		"DOTA_Tooltip_HealthRegen"		"Health Regeneration"
		"DOTA_Tooltip_Block"		"Block"
		"DOTA_Tooltip_Block_Description"		"Reduces all physical damage taken by a flat amount (post reductions)."
		"DOTA_Tooltip_MagicBlock"		"Magic Block"
		"DOTA_Tooltip_MagicBlock_Description"		"Reduce all spell damage taken by a flat amount (post reductions)."
		"DOTA_Tooltip_DamageReduction"		"Damage Reduction"
		"DOTA_Tooltip_DamageReduction_Description"		"Reduces all damage received (including pure) before armor and elemental resistance."
		"DOTA_Tooltip_ElementsProtection"		"Elemental Resistance"
		"DOTA_Tooltip_ElementsProtection_Description"		"Reduces all spell damage taken of the respective element. The elements are fire, frost, earth, nature, void, inferno and holy."
		"DOTA_Tooltip_ElementsDamage"		"Elemental Damage"
		"DOTA_Tooltip_ElementsDamage_Description"		"Increases all spell damage dealt of the respective element. The elements are fire, frost, earth, nature, void, inferno and holy."
		"DOTA_Tooltip_modifier_out_of_combat_buff"		"Out of combat"
		"DOTA_Tooltip_modifier_out_of_combat_buff_Description"		"Healing over time, move speed increased. You will receive out of combat status, if you don't take damage or deal damage in last 5 seconds. Healing caused remove out of combat status from source, if target don't have it."
        "npc_dummy_dps_unit" 		"Trainer"
        "DOTA_Dummy_DPS_Label"		"DPS"
        "DOTA_Dummy_Stats_Label"		"TRAINER STATS"
        "DOTA_Dummy_Button_Start_Test"		"START 10S TEST"
        "DOTA_Dummy_Button_Clear_Log"		"CLEAR LOG"
        "DOTA_Dummy_Damage_Instance"		"%SOURCE% deal %DAMAGE% %DAMAGE_TYPES% damage from %DAMAGE_SOURCE%."
        "DOTA_Dummy_Damage_Physical"		"<font color='1b2021'>Physical</font>"
        "DOTA_Dummy_Damage_Pure"		"<font color='ffde00'>Pure</font>"
        "DOTA_Dummy_Damage_Fire"		"<font color='d92129'>Fire</font>"
        "DOTA_Dummy_Damage_Frost"		"<font color='2386f6'>Frost</font>"
        "DOTA_Dummy_Damage_Earth"		"<font color='583011'>Earth</font>"
        "DOTA_Dummy_Damage_Nature"		"<font color='238842'>Nature</font>"
        "DOTA_Dummy_Damage_Void"		"<font color='6103c1'>Void</font>"
        "DOTA_Dummy_Damage_Inferno"		"<font color='1f5b07'>Inferno</font>"
        "DOTA_Dummy_Damage_Holy"		"<font color='d29c0f'>Holy</font>"
        "DOTA_Dummy_Damage_Physical_Tooltip"		"Armor"
        "DOTA_Dummy_Damage_Fire_Tooltip"		"Fire resistance"
        "DOTA_Dummy_Damage_Frost_Tooltip"		"Frost resistance"
        "DOTA_Dummy_Damage_Earth_Tooltip"		"Earth resistance"
        "DOTA_Dummy_Damage_Nature_Tooltip"		"Nature resistance"
        "DOTA_Dummy_Damage_Void_Tooltip"		"Void resistance"
        "DOTA_Dummy_Damage_Inferno_Tooltip"		"Inferno resistance"
        "DOTA_Dummy_Damage_Holy_Tooltip"		"Holy resistance"
        "DOTA_Dummy_Damage_Source_Ability"		"%ABILITY%"
        "DOTA_Dummy_Damage_Source_Autoattack"		"auto attack"
        "DOTA_Dummy_Damage_Source_Summon"		"summon"
        "DOTA_Dummy_Boss_Stats_Button"		"BOSS STATS"
        "DOTA_Dummy_Elite_Stats_Button"		"ELITE STATS"
        "DOTA_Dummy_Update_Stats_Button"		"UPDATE TRAINER"
        "DOTA_Tooltip_modifier_creep_elite"		"Elite"
        "DOTA_Tooltip_modifier_creep_elite_Description"		"This is an Elite enemy. Elite enemies are more powerful than regular ones and have random abilities, but may give better rewards."
       // Countless items
       "DOTA_Tooltip_Ability_item_claymore_custom"      "Claymore"
       "DOTA_Tooltip_Ability_item_claymore_custom_Description"      ""
       "DOTA_Tooltip_Ability_item_claymore_custom_attack_damage"      "Attack Damage: "
       "DOTA_Tooltip_Ability_item_claymore_custom_attack_speed"      "Attack Speed: "
       // Creeps
       // Boss
       // Ursa (Ursa)
        "DOTA_Tooltip_Ability_ursa_rend"      "Rend"
        "DOTA_Tooltip_Ability_ursa_rend_Description"      "First hit in an interval will stun and reduce target total armor."
        "DOTA_Tooltip_Ability_ursa_rend_stun"     "STUN DURATION: "
        "DOTA_Tooltip_Ability_ursa_rend_armor_reduction_pct"      "%ARMOR REDUCTION: "
        "DOTA_Tooltip_Ability_ursa_rend_duration"     "ARMOR REDUCTION DURATION: "
        "DOTA_Tooltip_Ability_ursa_rend_lore"     "Mature Nightsilver bear claws can tear through armor like it is nothing."
